state,year,N_thousand_tonnes,P_thousand_tonnes,K_thousand_tonnes,total_NPK_thousand_tonnes
Andhra Pradesh,2022-23,1191.57,451.5,69.46,1712.53
Andhra Pradesh,2023-24,1215.66,467.39,82.91,1765.96
Andhra Pradesh,2024-25,1287.07,489.7,102.26,1879.02
Telangana,2022-23,1240.77,624.28,193.71,2058.76
Telangana,2023-24,1108.76,618.29,218.07,1945.12
Telangana,2024-25,1352.53,690.33,282.17,2325.04
Karnataka,2022-23,73.83,29.16,51.46,154.46
Karnataka,2023-24,69.57,31.33,51.07,151.97
Karnataka,2024-25,79.02,34.2,58.17,171.39
Kerala,2022-23,652.69,273.69,120.29,1046.67
Kerala,2023-24,665.44,280.56,122.39,1068.39
Kerala,2024-25,709.61,284.93,144.52,1139.06
Tamil Nadu,2022-23,9.28,1.94,0.65,11.87
Tamil Nadu,2023-24,7.53,1.78,0.52,9.84
Tamil Nadu,2024-25,8.7,2.34,0.75,11.78
Puducherry,2022-23,0.0,0.0,0.0,0.0
Puducherry,2023-24,0.0,0.0,0.0,0.0
Puducherry,2024-25,0.0,0.0,0.0,0.0
Lakshadweep,2022-23,1341.18,395.43,74.27,1810.88
Lakshadweep,2023-24,1355.27,441.17,83.65,1880.09
Lakshadweep,2024-25,1362.93,422.22,92.65,1877.8
Gujarat,2022-23,1817.61,912.36,74.64,2804.62
Gujarat,2023-24,1945.39,1022.27,86.43,3054.1
Gujarat,2024-25,2118.56,946.54,138.22,3203.31
Madhya Pradesh,2022-23,464.15,211.44,34.61,710.2
Madhya Pradesh,2023-24,517.82,267.49,40.21,825.52
Madhya Pradesh,2024-25,577.42,264.96,51.67,894.05
Chhattisgarh,2022-23,1597.03,930.08,296.21,2823.32
Chhattisgarh,2023-24,1576.02,986.67,356.03,2918.71
Chhattisgarh,2024-25,1798.09,1048.39,427.7,3274.17
Maharashtra,2022-23,1320.21,493.43,12.59,1826.23
Maharashtra,2023-24,1355.14,532.98,14.18,1902.3
Maharashtra,2024-25,1378.72,453.43,30.19,1862.34
Rajasthan,2022-23,1.26,0.88,0.63,2.77
Rajasthan,2023-24,1.34,0.79,0.64,2.77
Rajasthan,2024-25,1.17,0.6,0.67,2.43
Daman & Diu,2022-23,6541.8,2943.73,492.95,9978.48
Daman & Diu,2023-24,6751.19,3251.47,581.15,10583.81
Daman & Diu,2024-25,7237.09,3136.21,741.08,11114.38
Haryana,2022-23,1491.81,368.82,29.34,1889.98
Haryana,2023-24,1552.78,371.74,35.57,1960.08
Haryana,2024-25,1631.06,356.27,54.76,2042.09
Punjab,2022-23,3912.53,1223.96,119.6,5256.08
Punjab,2023-24,3940.37,1259.91,140.03,5340.32
Punjab,2024-25,4151.08,1229.97,182.76,5563.82
Uttar Pradesh,2022-23,105.08,29.2,3.76,138.03
Uttar Pradesh,2023-24,115.6,25.33,5.46,146.38
Uttar Pradesh,2024-25,115.93,26.84,5.22,147.99
Uttarakhand,2022-23,38.86,10.89,8.1,57.85
Uttarakhand,2023-24,35.39,10.0,6.99,52.38
Uttarakhand,2024-25,34.78,10.87,6.91,52.57
Himachal Pradesh,2022-23,82.27,21.93,10.33,114.53
Himachal Pradesh,2023-24,74.78,20.44,9.52,104.74
Himachal Pradesh,2024-25,70.45,19.99,8.5,98.94
Jammu & Kashmir,2022-23,13.63,2.47,0.14,16.24
Jammu & Kashmir,2023-24,15.51,2.01,0.14,17.66
Jammu & Kashmir,2024-25,19.01,2.08,0.07,21.15
Delhi,2022-23,1187.47,366.33,82.2,1636.0
Delhi,2023-24,1265.76,406.93,94.07,1766.76
Delhi,2024-25,1385.77,416.42,125.51,1927.69
Bihar,2022-23,138.27,47.29,4.55,190.11
Bihar,2023-24,162.21,52.17,3.11,217.49
Bihar,2024-25,200.68,58.95,5.38,265.01
Jharkhand,2022-23,349.6,152.04,39.88,541.52
Jharkhand,2023-24,372.91,186.62,42.74,602.28
Jharkhand,2024-25,426.31,199.35,51.29,676.94
Odisha,2022-23,851.21,478.98,284.36,1614.55
Odisha,2023-24,741.91,427.99,273.8,1443.7
Odisha,2024-25,949.95,515.84,354.36,1820.15
West Bengal,2022-23,177.98,49.32,28.68,255.97
West Bengal,2023-24,188.07,53.45,27.38,268.91
West Bengal,2024-25,207.42,55.84,36.33,299.58
Assam,2022-23,9.58,4.57,1.6,15.76
Assam,2023-24,7.19,4.22,1.52,12.93
Assam,2024-25,8.56,4.52,2.75,15.83
Tripura,2022-23,15.23,4.11,2.3,21.64
Tripura,2023-24,11.78,1.72,0.93,14.43
Tripura,2024-25,6.78,2.41,0.97,10.16
Meghalaya,2022-23,0.24,0.0,0.0,0.24
Meghalaya,2023-24,0.37,0.01,0.01,0.39
Meghalaya,2024-25,0.61,0.04,0.01,0.65
Nagaland,2022-23,0.36,0.0,0.0,0.36
Nagaland,2023-24,0.39,0.04,0.0,0.43
Nagaland,2024-25,0.61,0.07,0.11,0.79
Arunachal Pradesh,2022-23,4.86,0.59,0.04,5.49
Arunachal Pradesh,2023-24,5.8,0.04,0.02,5.86
Arunachal Pradesh,2024-25,9.41,0.13,0.02,9.55
Sikkim,2022-23,20206.34,7921.51,1715.77,29843.61
Sikkim,2023-24,20456.37,8306.65,1878.56,30641.58
Sikkim,2024-25,22147.9,8395.77,2383.85,32927.52
