state,drip_ha,sprinkler_ha,total_micro_irrigation_ha
Andhra Pradesh,1534852,559838,2094690
Arunachal Pradesh,8747,5166,13913
Assam,12651,32955,45606
Bihar,25231,107499,132730
Chhattisgarh,41115,364004,405119
Goa,1453,1378,2831
Gujarat,1058717,887579,1946296
Haryana,52541,701395,753935
Himachal Pradesh,8301,6777,15078
Jammu & Kashmir,699,485,1184
Jharkhand,41262,19900,61162
Karnataka,916000,1936203,2852202
Kerala,25215,10332,35547
Madhya Pradesh,393137,365580,758717
Maharashtra,1572806,724033,2296839
Manipur,338,15242,15580
Meghalaya,596,814,1410
Mizoram,7174,1885,9059
Nagaland,19833,10776,30609
Odisha,36255,192659,228913
Punjab,40179,19915,60095
Rajasthan,479608,2027887,2507496
Sikkim,7713,16761,24474
Tamil Nadu,998162,457336,1455498
Telangana,259438,99565,359002
Tripura,3068,3538,6606
Uttar Pradesh,115064,314824,429888
Uttrakhand,18100,16701,34801
West Bengal,10905,145618,156524
All India,7689159,9046643,16735802
